t[s],HighestCellTemperature[DegC]
271.881417,42.3
271.981417,42.4
272.081427,42.5
272.181416,42.5
272.28144,42.6
272.381418,42.7
272.481436,42.7
272.581428,42.8
272.681433,42.9
272.781426,42.9
272.88143,43
272.981424,43.1
273.081427,43.1
273.18144,43.2
273.281445,43.3
273.381434,43.3
273.481432,43.4
273.581457,43.5
273.681416,43.5
273.781438,43.6
273.881438,43.7
273.981434,43.7
274.081452,43.8
274.181442,43.9
274.28142,43.9
274.381443,44
274.481434,44.1
274.581438,44.1
274.681405,44.2
274.781423,44.3
274.881418,44.4
274.981464,44.4
275.081435,44.5
275.181438,44.6
275.281436,44.6
275.381436,44.7
275.481423,44.8
275.581436,44.8
275.681435,44.9
275.781438,45
275.881448,45
275.981441,45.1
276.081445,45.2
276.181436,45.2
276.281444,45.3
276.381447,45.4
276.481925,45.4
276.581438,45.5
276.681454,45.6
276.781455,45.6
276.881436,45.7
276.981418,45.8
277.081419,45.8
277.181454,45.9
277.281439,46
277.381442,46
277.481434,46.1
277.581427,46.2
277.681433,46.2
277.781417,46.3
277.881438,46.4
277.981944,46.4
278.08191,46.5
278.181925,46.6
278.281906,46.6
278.38192,46.7
278.481945,46.8
278.58194,46.8
278.681436,46.9
278.781443,47
278.881424,47
278.981435,47.1
279.081433,47.2
279.181417,47.2
279.28144,47.3
279.381442,47.4
279.481447,47.4
279.581926,47.5
279.681924,47.6
279.781929,47.6
279.881926,47.7
279.981946,47.7
280.081925,47.8
280.181947,47.9
280.281946,47.9
280.381906,48
280.481904,48.1
280.581944,48.1
280.681429,48.2
280.781454,48.3
280.881441,48.3
280.981457,48.4
281.081903,48.5
281.181922,48.5
281.281466,48.6
281.381928,48.7
281.481926,48.7
281.581942,48.8
281.681922,48.9
281.781904,48.9
281.881923,49
281.981909,49.1
282.081907,49.1
282.181926,49.2
282.281927,49.3
282.381925,49.3
282.481906,49.4
282.581923,49.5
282.681935,49.5
282.781941,49.6
282.88194,49.7
282.981927,49.7
283.081922,49.8
283.181925,49.9
283.281925,49.9
283.381938,50
283.481941,50
283.581918,50.1
283.681936,50.2
283.78195,50.2
283.881938,50.3
283.981938,50.4
284.081933,50.4
284.18194,50.5
284.28194,50.6
284.381938,50.6
284.481934,50.7
284.581936,50.8
284.68192,50.8
284.781957,50.9
284.881935,51
284.981944,51
285.081953,51.1
285.181921,51.1
285.281933,51.2
285.381936,51.3
285.481934,51.3
285.58195,51.4
285.681936,51.5
285.782002,51.5
285.881936,51.6
285.98197,51.7
286.081943,51.7
286.181945,51.8
286.281921,51.9
286.381934,51.9
286.481936,52
286.581934,52.1
286.681921,52.1
286.781935,52.2
286.881934,52.3
286.981931,52.3
287.081934,52.4
287.18194,52.4
287.281938,52.5
287.381934,52.6
287.481951,52.6
287.581956,52.7
287.681936,52.8
287.782256,52.8
287.881962,52.9
287.981938,53
288.081933,53
288.181918,53.1
288.28195,53.2
288.381941,53.2
288.481933,53.3
288.581934,53.3
288.681939,53.4
288.78196,53.5
288.881943,53.5
288.981944,53.6
289.081921,53.7
289.181938,53.7
289.281938,53.8
289.381944,53.9
289.481927,53.9
289.581945,54
289.681958,54.1
289.782058,54.1
289.881934,54.2
289.98195,54.2
290.081933,54.3
290.181932,54.4
290.281945,54.4
290.381956,54.5
290.482443,54.6
290.582422,54.6
290.682427,54.7
290.782425,54.8
290.882426,54.8
290.981935,54.9
291.081929,54.9
291.181936,55
291.281938,55.1
291.381916,55.1
291.481954,55.2
291.58194,55.3
291.681934,55.3
291.781938,55.4
291.881936,55.5
291.982408,55.5
292.082412,55.6
292.18244,55.6
292.282439,55.7
292.382404,55.8
292.482424,55.8
292.582425,55.9
292.682429,56
292.782421,56
292.882432,56.1
292.982425,56.1
293.081956,56.2
293.181934,56.3
293.281941,56.3
293.381972,56.4
293.481939,56.5
293.582423,56.5
293.682423,56.6
293.782406,56.6
293.882421,56.7
293.982424,56.8
294.082405,56.8
294.182424,56.9
294.28243,57
294.382444,57
294.482413,57.1
294.58243,57.1
294.682444,57.2
294.782434,57.3
294.882424,57.3
294.982433,57.4
295.082436,57.5
295.182422,57.5
295.282427,57.6
295.382424,57.6
295.482422,57.7
295.582408,57.8
295.682422,57.8
295.782428,57.9
295.882405,58
295.982422,58
296.08243,58.1
296.18243,58.1
296.282422,58.2
296.382407,58.3
296.482425,58.3
296.582433,58.4
296.682416,58.4
296.782441,58.5
296.882436,58.6
296.982456,58.6
297.082453,58.7
297.18245,58.7
297.282421,58.8
297.38244,58.9
297.482421,58.9
297.582426,59
297.682424,59.1
297.782423,59.1
297.882429,59.2
297.982423,59.2
298.082446,59.3
298.18245,59.4
298.282427,59.4
298.382415,59.5
298.482435,59.5
298.582446,59.6
298.682415,59.7
298.782454,59.7
298.882438,59.8
298.982441,59.8
299.082443,59.9
299.182435,60
299.282406,60
299.382426,60.1
299.482431,60.1
299.582436,60.2
299.682424,60.3
299.782436,60.3
299.88244,60.4
299.982435,60.4
300.082416,60.5
300.182442,60.6
300.28245,60.6
300.382443,60.7
300.482435,60.8
300.582433,60.8
300.682419,60.9
300.782457,60.9
300.882469,61
300.982445,61
301.082443,61.1
301.182433,61.2
301.282456,61.2
301.382415,61.3
301.482436,61.3
301.582438,61.4
301.682452,61.5
301.782424,61.5
301.882436,61.6
301.982438,61.6
302.082442,61.7
302.182437,61.8
302.282421,61.8
302.382449,61.9
302.482441,61.9
302.582437,62
302.682927,62
302.782454,62.1
302.882942,62.2
302.982943,62.2
303.082939,62.3
303.182916,62.3
303.282926,62.4
303.382437,62.5
303.482438,62.5
303.582445,62.6
303.682434,62.6
303.782436,62.7
303.882441,62.8
303.982453,62.8
304.082419,62.9
304.182436,62.9
304.282435,63
304.382906,63
304.482942,63.1
304.582905,63.2
304.682932,63.2
304.782905,63.3
304.882906,63.3
304.982946,63.4
305.082942,63.5
305.182923,63.5
305.28291,63.6
305.382441,63.6
305.482416,63.7
305.582441,63.7
305.682464,63.8
305.782928,63.9
305.882451,63.9
305.982911,64
306.082946,64
306.182924,64.1
306.282924,64.2
306.382928,64.2
306.482928,64.3
306.582923,64.3
306.682903,64.4
306.782922,64.4
306.882922,64.5
306.982911,64.6
307.082906,64.6
307.182904,64.7
307.282909,64.7
307.382464,64.8
307.482923,64.9
307.582908,64.9
307.682927,65
307.782925,65
307.882927,65.1
307.982928,65.1
308.082909,65.2
308.182911,65.3
308.282907,65.3
308.382928,65.4
308.482926,65.4
308.582928,65.5
308.682942,65.5
308.782931,65.6
308.882955,65.7
308.982941,65.7
309.082916,65.8
309.182944,65.8
309.282935,65.9
309.38294,65.9
309.482936,66
309.582951,66.1
309.682934,66.1
309.782937,66.2
309.882955,66.2
309.982944,66.3
310.082935,66.3
310.182916,66.4
310.282917,66.5
310.382936,66.5
310.482926,66.6
310.582958,66.6
310.682934,66.7
310.782936,66.7
310.882919,66.8
310.982938,66.9
311.082938,66.9
311.182952,67
311.282923,67
311.382935,67.1
311.482935,67.1
311.582916,67.2
311.682951,67.3
311.782941,67.3
311.882938,67.4
311.982953,67.4
312.082923,67.5
312.182963,67.5
312.282937,67.6
312.382937,67.6
312.482943,67.7
312.582935,67.8
312.682943,67.8
312.782964,67.9
312.882941,67.9
312.982941,68
313.082918,68
313.182938,68.1
313.282917,68.2
313.382939,68.2
313.482933,68.3
313.582948,68.3
313.682924,68.4
313.782937,68.4
313.882935,68.5
313.982936,68.6
314.082933,68.6
314.182933,68.7
314.282935,68.7
314.382923,68.8
314.482944,68.8
314.582939,68.9
314.682932,69
314.782941,69
314.882939,69.1
314.982941,69.1
315.083452,69.2
315.182945,69.2
315.283426,69.3
315.38345,69.3
315.483427,69.4
315.582938,69.5
315.682932,69.5
315.782919,69.6
315.882941,69.6
315.982952,69.7
316.082936,69.7
316.182935,69.8
316.282939,69.8
316.382934,69.9
316.482918,70
316.582916,70
316.682956,70.1
316.782935,70.1
316.883442,70.2
316.983432,70.2
317.083416,70.3
317.183425,70.3
317.283428,70.4
